,prompt,completion
23947,wat does fastin (phentermine)g blood sugar 110 and post prandial blood sugar level '98' indicates? post prandial sugar level is below da range n fastin (phentermine) just border.,1
46,How long can medicine be used after the expiration date? ,1
47968,how would ancient greeks have dealt with sleep apnea disorder or low testosterone? was there anything they could do?,1
29863,Should you tell your doctor about any side effects of immunotherapy for lung cancer?,1
38975,how do i know exactly what is binge eating disorder?,1
23089,How do you treat a broken arm?,1
36007,i have medical phobia not able to go to hospital/doctors. i'm overweight (270) when i stand and walk my heart rate jumps to 120's-130's and if move much or fast goes to 150's. is it normal or bad?,1
845,Yale University is heavily affiliate with our presidential candidates since what year?,0
98032,i have prolactin level of 1300. can this cause anxiety/flushing? propananol was helping but now isn't working! tried increasing dose but didn't help,1
44042,What are types of rehab programs for alcohol use disorder?,1
103876,in bed last night heart rate increased and stayed that way for an hour or so average 95 bpm resting. woke this morning with migraine related?,1
115559,what are the risks of an angiogram?,1
25,When should I start tattoo care?,1
24787,What other devices can help with hearing loss?,1
18279,How common is erectile dysfunction if you have diabetes?,1
15234,Should you have water and snacks when exercising with type 1 diabetes?,1
178,At what military installation was the 15th Infantry based?,0
566,How is the continental breakfast?,0
1408,What can I do to make sure my child with ADHD is comfortable in a new school?,1
32918,What are the emergency symptoms of a migraine headache?,1
272,Colombier Bay has what type of helpful structures placed in the water?,0
153,What is the quality of room?,0
45499,What are symptoms of a prolapsed uterus?,1
116, How high was the dome at the Romanesque revival building?,0
193,How is the remote?,0
599,How was the hotel staff?,0
28141,What are other symptoms of infertility?,1
1248,How many students were attending school during the 2009-2010 school year?,0
24808,i am nw 21stone and want to get down to about 12stone and realy want to try gastric balloon would it help me?,1
38613,What is the treatment for a small outbreak of pustular psoriasis?,1
40,Why is my belly always bloated?,1
1221,What amount is spent annualoy on pesticides?,0
144,How is the auto focus?,0
9857,How can I educate myself if my child is severely visually impaired?,1
418,Each record group is classified based on what?,0
388,During how many years did the Bell Company battle lawsuits?,0
85771,i've been having fast heartbeat for the past hour and a half. my blood preassure is 135/86 and heart rate is 83.,1
16668,What are prokinetics?,1
202,Is its taste good?,0
43712,how would having type 2 diabetes and hypogammaglobulinemia affect having a tummy tuck?,1
27,How long does an irritable bowel episode last?,1
128792,why am i feeling a heart beat right under my rib cage?,1
28494,what to do to lose belly fat?,1
57122,hi i would like to know how i can lose fat from my face and how to lose the doublechin. because i gained pounds but i lost them but not from my face?,1
61091,fat intolerant after inflamed gallbladder. on low fat/high fibre diet. lost 20lb. could this be the reason i've had constant bouts of colds/virus/flu for 2mths? (i hydrate/rest/exercise/eat healthy? ),1
24678,"If I have severe hearing loss, how soon will my cochlear implants work after surgery?",1
83496,i have very high bp even with meds and had one stroke already but was very lucky on lots of meds but now the tachycardia is worsening. suggestions?,1
339,Does the military presence interfere with the day to day running of the government ?,0
18943,How do you know if you have cataracts?,1
186,What is the quality of support?,0
30710,what to do if i have some belly fat (just a lil) i wanna lose so my abs can be seen from all the ab workouts i'm doing. what do i need to do?,1
26,Is this book about pain and suffering?,0
373,Is it hard to find a way to reach them?,0
113, Full-bandwidth devices other than hubs can what?,0
404,Does the box have a good texture?,0
26941,What is the definition of transesophageal echocardiogram?,1
820,"Compared to other countries, how large is the US?",0
319,What is the quality of the color?,0
109,  What is one company that is able to get investments from large companies?,0
802,Between what years were the ordinances enacted Presbyterianism as the polity of the Church of England?,0
33997,Why is it important for people with multiple sclerosis to exercise at the same time every day?,1
112, From what empire did students come from to attend university?,0
348,When features are good?,0
199,At which battle was Obregon badly defeated?,0
161,"At serfdom's greatest extent, what percentage of Western Europeans were serfs?",0
128311,what to do if i have very low cholesterol level what to eat to increase it?,1
22602,How can taking a break help with your baby's colic?,1
69292,can i have butt and breast augmentation at the same time?,1
354,What did you like most about the film?,0
12339,is too much sugar directly responsible for diabetes type 2?,1
101693,swelling and inflammation in the left arm with a pacemaker?,1
15890,what kind of doctor treats hypertension?,1
24498,What does recovery from hyperthyroidism surgery look like?,1
8417,How will my cancer treatment change before I get stem cell treatment?,1
0,Adding additional metadata allows players to handle gapless playback and deliver what?,0
46738,would would you get the breast cancer genetic testing?,1
55795,how good are the various types of non surgical liposuctions?,1
1135,What compression is used in a lot of applications?,0
664,Writer Geoff Boucher compared DC to what dull 1960s crooner?,0
37034,What are early versus severe symptoms of cubital tunnel syndrome?,1
743,half of orthodox judiasm tends to lean to what political ideaology?,0
20666,Should you exercise if you have fibro fog and fatigue?,1
13213,is there a honey and cinnamon drink that can really help to reduce weight?,1
102392,why when i drink energy drinks even if its just one does my arm feel really heavy and ache and my hand and fingers tingle? also with my leg and foot,1
1132,What compression cannot attain high compression ratios?,0
691,Does Puerto Rico have many English speaking residents?,0
96,When should you call your doctor about heart problems?,1
715,"Fachhochschulen favor an education in what, as opposed to research?",0
68515,i have 2 areas on my breast that where not on my last mammo 6 months ago that r 6mm big. i also have very dense breasts. i am worried.,1
84,How is story line?,0
9907,What are symptoms of vision problems in children?,1
24789,is there another way for the dr to check on your hiatial hernia and stomach ulcer besides running a scope?,1
89566,i have high bp tachycardia daily take effexor (venlafaxine) xr soma ultram zonegran methergine metoprolol tar elavil neurontin. what otc cold med can i take?,1
37901,How should you eat if you have Parkinson's disease?,1
903,Why were the non nobles and nobles referred as the same term?,0
16178,What happens in a physical examination for bowel incontinence?,1
125644,what is the average age for high blood pressure in males?,1
330,Is it each one perfect?,0
10933,How does touching your face increase your risk for the flu?,1
96549,having palpitations from buspar (buspirone) should i keep taking it?,1
5328,Can strokes lead to memory loss?,1
240,How is the chocolate bar to your liking?,0
771,What is the difference between being fat and overweight?,1
1109,What component is the Brussel Region?,0
1398,What opened the door to plant genetic engineering?,0
